Fighter,ELO
Jon Jones,1754.2128490890457
Islam Makhachev,1729.2568543361103
Khabib Nurmagomedov,1700.2398854224218
Belal Muhammad,1691.1669654870027
Charles Oliveira,1690.0620311931514
Max Holloway,1683.7689199137992
Amanda Nunes,1683.029202496845
Leon Edwards,1683.0145820629716
Demetrious Johnson,1675.9369624110843
Francis Ngannou,1669.8851683015291
Kamaru Usman,1668.8527966801093
Dustin Poirier,1667.2684445047498
Aljamain Sterling,1660.354161872207
Alexander Volkanovski,1656.3776287295195
Magomed Ankalaev,1653.7235315561047
Robert Whittaker,1650.084430687591
Valentina Shevchenko,1649.9806122692037
Dricus Du Plessis,1648.935266584665
Alex Pereira,1648.8580444764639
Merab Dvalishvili,1648.2291919063537
Alexandre Pantoja,1647.0047213634507
Ilia Topuria,1646.0891748331626
Khamzat Chimaev,1645.1814280803549
Movsar Evloev,1643.0318551780642
Stipe Miocic,1640.3333999800243
Ciryl Gane,1639.0708331979565
Sean Strickland,1635.828792593821
Beneil Dariush,1635.2566451215646
Daniel Cormier,1633.4641703978348
Shavkat Rakhmonov,1631.936899517609
Grant Dawson,1631.7678126818043
Brendan Allen,1631.4960996671477
Israel Adesanya,1631.4238727053762
Colby Covington,1630.3856185780153
Arnold Allen,1629.5487406797736
Deiveson Figueiredo,1628.5979130485964
Sean O'Malley,1628.480285675342
TJ Dillashaw,1628.155049311705
Vicente Luque,1626.9335619692433
Tom Aspinall,1626.2704858306017
Glover Teixeira,1623.411146360867
Jack Della Maddalena,1622.123845233921
Curtis Blaydes,1621.886622763284
Arman Tsarukyan,1618.100302619671
Francisco Trinaldo,1615.5739259191482
Renato Moicano,1614.7044170810068
Manon Fiorot,1614.0796423324684
Henry Cejudo,1613.607801108038
Georges St-Pierre,1613.3609096009643
Mario Bautista,1613.1603422403925
Tatiana Suarez,1612.538353977186
Lerone Murphy,1612.3768407088726
Benson Henderson,1611.9738546444187
John Lineker,1611.5539031021858
Cory Sandhagen,1610.8372425958746
Caio Borralho,1609.7367813963467
Alexander Volkov,1608.2783770299063
Randy Brown,1606.8134151522713
Muhammad Mokaev,1606.6372821624552
Sean Brady,1605.5872822374786
Gegard Mousasi,1605.562460032109
Song Yadong,1605.2385273455714
Joaquin Buckley,1605.159763852744
Jan Blachowicz,1605.030325400081
Maycee Barber,1604.8375010554787
Dan Hooker,1604.5745914006511
Conor McGregor,1603.9702942129743
Raquel Pennington,1602.9229554762503
Elizeu Zaleski dos Santos,1602.2364512204979
Umar Nurmagomedov,1601.9863794946536
Rustam Khabilov,1601.850130116019
Erin Blanchfield,1601.6725586746218
Josh Emmett,1600.6944730955724
Jailton Almeida,1600.58250918252
Gilbert Burns,1599.7780458469565
Justin Gaethje,1599.5293345183995
Paddy Pimblett,1598.8516247478044
Joseph Benavidez,1598.3768349839547
Montel Jackson,1597.8854826435763
Carlos Ulberg,1597.7748046676986
Gregor Gillespie,1597.144740791428
Derrick Lewis,1597.1266444435728
Marlon Vera,1596.4863301964697
Bryan Battle,1595.8767596167531
Ryan Bader,1595.551866242558
Nassourdine Imavov,1595.052919122729
Petr Yan,1595.029800880505
Norma Dumont,1594.7840447741132
Michel Pereira,1594.575077491077
Jose Aldo,1594.478321858988
Natalia Silva,1593.9359319791922
Drakkar Klose,1593.7594443180938
